id,full_name,is_active
76308,Evers Burns,False
76309,Jim Burns,False
197,Scott Burrell,False
76311,Art Burris,False
675,Junior Burrough,False
76313,Bob Burrow,False
1629126,Deonte Burton,False
76314,Ed Burton,False
416,Willie Burton,False
76316,Steve Burtt,False
76317,Don Buse,False
202221,Brian Butch,False
76318,Donnie Butcher,False
76319,Al Butler,False
2406,Caron Butler,False
202364,Da'Sean Butler,False
76320,Greg Butler,False
2866,Jackie Butler,False
1630215,Jared Butler,False
348,Mitchell Butler,False
2446,Rasual Butler,False
202710,Jimmy Butler III,True
1631219,John Butler Jr.,False
202779,Dwight Buycks,False
1641824,Matas Buzelis,True
201182,Derrick Byars,False
101115,Andrew Bynum,False
101198,Will Bynum,False
76321,Marty Byrnes,False
76322,Tommy Byrnes,False
76323,Mike Bytzura,False
2560,Zarko Cabarkapa,False
76324,Barney Cable,False
203998,Bruno Caboclo,False
1629719,Devontae Cacok,False
679,Jason Caffey,False
262,Michael Cage,False
1631288,Jamal Cain,True
76326,Gerry Calabrese,False
201979,Nick Calathes,False
101181,Jose Calderon,False
154,Adrian Caldwell,False
76328,Jim Caldwell,False
76329,Joe Caldwell,False
203484,Kentavious Caldwell-Pope,True
76331,Bill Calhoun,False
76330,Corky Calhoun,False
76332,Demetrius Calip,False
76333,Tom Callahan,False
76334,Rick Calloway,False
76335,Ernie Calverley,False
76336,Mack Calvin,False
1641739,Toumani Camara,True
76337,Dexter Cambridge,False
948,Marcus Camby,False
1630267,Facundo Campazzo,False
922,Elden Campbell,False
76338,Tony Campbell,False
203477,Isaiah Canaan,False
1629962,Devin Cannady,False
76339,Larry Cannon,False
203991,Clint Capela,True
202382,Derrick Caracter,False
2073,Brian Cardinal,False
1642928,Dylan Cardwell,True
1630176,Vernon Carey Jr.,False
76340,Howie Carl,False
76341,Chet Carlisle,False
2367,Geno Carlisle,False
76342,Rick Carlisle,False
76343,Al Carlson,False
1642382,Branden Carlson,True
76344,Don Carlson,False
76345,Bob Carney,False
200760,Rodney Carney,False
76346,Bob Carpenter,False
156,Antoine Carr,False
76348,Austin Carr,False
713,Chris Carr,False
1757,Cory Carr,False
76350,Kenny Carr,False
76351,M.L. Carr,False
76352,Bob Carrington,False
1642267,Bub Carrington,True
201960,DeMarre Carroll,False
76353,Joe Barry Carroll,False
2679,Matt Carroll,False
